title,company,location,description
FP&A Analyst - Virtual/Remote,Enumerate,"Jacksonville, FL, USA","Enumerate needs a **Financial Planning & Analysis Analyst** for our rapidly growing team!Enumerate has grown rapidly through acquisitions and is backed by a leading Boston-based private equity firm. We expect to continue with strategic acquisitions while diversifying our product offerings to include payments-related services for its core HOA customer base.  
  
In this role, you’ll be responsible for budgeting and forecasting as well as the development and delivery of actionable and insightful analyses of both retrospective trends (actual v. planned) and prospective opportunities. Our growth objectives make it critical that we establish reporting, budgeting, and forecasting and analytical models and processes that will enable the company to scale. You will have a leading role in identifying, implementing, and improving upon these core requirements.  
  
You will work closely with multiple teams across the company, providing leaders with an understanding of key performance drivers and how business decisions impact the company’s financial prospects. This role reports to the CFO and will partner closely with the accounting team. Salary range is $75-85k, depending on experience. This position is remote eligible, with a preference for candidates in CST/EST. **Who will love this job**  
* Someone who is a critical thinker with a meticulous approach, high initiative, and the ability to explain financial concepts in “plain English” to non-financial stakeholders

**You should have*** Required: 2+ years of experience in financial analysis, either within a corporate Finance, FP&A function, or within investment banking, commercial banking, or private equity.
* Required: Bachelors in Accounting, Finance, Economics, or other highly quantitative discipline.
* Required: Experience with SaaS (or subscription) revenue recognition, including familiarity with standard SaaS metrics/ KPIs.
* Fluency in O365- especially Excel, PowerPoint, and SharePoint.
* Strong financial modeling skills in Excel including a working knowledge of 3 statement models.
* Ability to both identify and communicate high level concepts and observations while also being able to roll up your sleeves and dive into the details.
* Patience, tact, and a good sense of humor - ability to work effectively and amicably with remote teams across the organization
* Authorized to work in the US without sponsorship.
* Travel of 5% expected for quarterly team meetings.
* Ability to work in the US without sponsorship.
  
**Culture**  
**Why Enumerate**  
  
Our team is changing the face of the HOA Property Technology space as a trusted industry leader for over 30 years. Today, our products enable over 1,500 of the highest-caliber property management companies in the world to grow and protect their organizations. We are a five-time winner of FLCAJ’s Readers Choice Awards for our solutions and support.  
  
Our approach to work is proactive, collaborative, and committed and our team of 140+ are truly passionate about creating a best-run company internally just as we create best-run Property Management Companies for our customers. Learn about our Core Values here.  
  
We offer a full slate of benefits, including competitive salaries, medical (including a $0 option for employees), dental, vision, life and disability coverage, paid vacation, paid holidays, tuition reimbursement, $1,000 employee referral program and a 401(k) plan. When possible, we also like to offer fun in-person perks like pet-friendly offices, paid food trucks and company outings."
Supervisory Financial Systems Analyst,Internal Revenue Service,"Jacksonville, FL, USA","This experience may have been gained through work experience as a project/program manager, team lead or project/program lead, technical advisor, or senior specialist/**analyst** that included managing ..."
Junior Financial Analyst,Mirador,"Jacksonville, FL, USA","Company Overview

 Grounded in Wall Street and enabled by technology, Mirador combines powerful data science and deep financial expertise to provide best-of-breed financial reporting services for U/HNW investment portfolios. We are a firm in the Wealth Management industry that supports the performance-reporting requirements of Family Offices, Wealth and Asset Managers, and Foundations throughout the United States, Western Europe, and Latin America. We are expanding rapidly with new clients and offerings, and as such are staffing to meet the need. Our firm is at the intersection of finance and technology. 

There's a difference between being a part of an industry and taking an active role in reimagining it. Our team is fundamentally changing one of the world's largest growing industriesfinancial reporting. Other companies may offer similar services, but we have no true competition. To learn more about the benefits of working for Mirador, please visit our website. 

Position Overview

We seek diligent, detail-oriented professionals to join the team. You must be comfortable working in a dynamic, performance-driven, fast-paced environment, and committed to delivering a high-quality, accurate product on a time-sensitive basis.

Responsibilities

* Organize, sort, and enter data from financial statements
* Data feed management
* Liaise with team lead on system & data issues

Required Qualifications & Skills

- Comfortable with technology, software tools & applications.

- 0-2 years Data entry experience

- Well-organized and self-motivated

- Highly attentive to detail and accuracy

- Familiarity with handling confidential data

Preferred Qualifications

- Familiarity with financial services helpful

- Associates degree in finance, business administration, or accounting 

Competitive compensation based on qualifications.

Mirador is committed to a diverse and inclusive workplace. Mirador is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. By submitting an application for this position, I confirm that the information in the application is true and correct to the best of my knowledge.

Please note that this position is not eligible for work sponsorship or visa sponsorship.

Location:  


Stamford, Connecticut

Employment Type:

Full-Time

Minimum Experience:

Entry-level"
Financial Analyst,VTrips,"Jacksonville, FL, USA","Description:Exciting Career Opportunity at VTrips

  


Are you skilled in financial analysis and passionate about driving business success through insightful financial forecasting and reporting? VTrips, a leading name in the vacation rental industry, invites you to bring your expertise to our team as a Financial Analyst in the dynamic and growing field of vacation property management.

  


As a vital part of our finance team, you will play a key role in shaping our financial strategy, providing critical support to our Director of Finance. Your efforts in preparing financial statements, budgets, forecasts, and models will not only ensure our financial health but also guide our strategic decisions. This is an incredible opportunity to grow your career with a company that values innovation, efficiency, and a commitment to excellence.

  


**Key Responsibilities:**

* Conduct annual financial forecasting and quarterly re-forecasts, presenting your insights to upper management and lenders to inform strategic decision-making.
* Collaborate closely with managers across departments to align financial planning with operational needs, ensuring efficient resource allocation and financial stability.
* Prepare detailed month-end financial reports for commercial lenders and private equity partners, contributing to transparent and accountable financial management.
* Develop financial and operational models and reports, driving optimization and process improvements across the organization.
* Assist in the preparation of quarterly board meeting decks, providing clear and concise financial summaries to inform board members and guide discussions.
* Engage in due diligence for acquisition targets and support accounting teams post-close, ensuring smooth financial integration and reporting.
* Tackle Ad-Hoc projects, leveraging your problem-solving skills to support the operations team and management with timely and effective solutions.
* Embrace additional responsibilities as required, demonstrating flexibility and a commitment to the company's success.

  


**Other Duties:** Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

  


**Apply now and become a vital part of the VTrips family, where your career is more than just a job - it's an adventure!**

Requirements:**Qualifications and Experience:**

* A Bachelor's degree in accounting, finance, economics, or a related field.
* 1-2 years of relevant experience in finance, accounting, or analysis.
* Proficiency in MS Excel and PowerPoint, with the ability to manage complex financial models and presentations.
* A quick learner and self-motivated professional with excellent time management skills.
* Outstanding communication skills, capable of engaging effectively with all levels of the organization.
* Strong interpersonal skills, fostering collaboration and communication across departments.
* Previous experience in the hospitality industry is an advantage, though not mandatory.

**Work Authorization/Security** Clearance: Must be eligible to work in the United States and pass a background screening.

  


**AAP/EEO Statement:** The Company is an Equal Opportunity Employer and fully subscribes to, as well as practices, the principles of Equal Employment Opportunity. We do not discriminate on the basis of race, color, religion, sex, national origin, age, disability, citizenship, marital status, sexual orientation, or any other characteristic protected by law in the recruitment, selection, placement, training, compensation, and promotion of our employees."
Financial Controller - Construction,CYE Enterprises Inc,"Jacksonville, FL, USA","**Company Description**

CYE Enterprises, Inc. is a woman-owned small business and a third-generation federal contractor specializing in roofing, concrete, energy, and renovation projects for federal agencies. Our team strives to consistently exceed our clients' expectations, and we value our employees as our greatest asset. Our corporate office is located in Jacksonville, FL. We service federal agencies and commercial customers throughout the country.

**Role Description**

CYE Enterprises, Inc., a prominent construction company in Jacksonville, FL, is seeking a full-time, on-site Controller with expertise in construction accounting. As a key member of our management team, the Controller will play a pivotal role in overseeing all financial functions, including accounting, budgeting, and financial analysis, with a focus on our construction projects. This role encompasses managing financial reporting, operations, cash flow, and forecasting for optimal project financial performance. Additionally, the Controller will manage the performance of direct reports.

Note: This job description is not intended to be all-inclusive. The employee may perform other related duties as negotiated to meet the ongoing needs of the organization.

**Qualifications**

* Ideal candidates will have a Bachelor’s degree in accounting, finance, or related field or equivalent relevant work experience
* **5+ years experience in a Controller and/or Finance Director role**

Must have experience in construction accounting

Must be proficient in Excel and Microsoft Office Suite.

**Preference is given to candidates with Sage 100 Contractor experience**

* Excellent communication skills with the ability to interact effectively with company executives, vendors, and employees at all levels of the organization.
* Problem Solving/Troubleshooting skills
* Thoroughness and attentiveness to details
* Ability to prioritize and multitask
* Proactive and deadline-oriented
* Negotiation skills

**Duties and responsibilities**

* Lead, manage and support Accounting/HR Team
* Work closely with Owners and Department Managers
* Manage all aspects and accounting of the general ledger, cash flow
* Strong understanding of construction accounting (WIP, over/under billing, job costing, etc.)
* Safeguard assets and assure accurate and timely recording of all transactions by implementing disciplines of internal audits, controls and checks across all departments
* Manage the accuracy and productivity of day-to-day activities of cash disbursements, invoicing/billing, payroll, fixed asset records, general & entity accounting, job cost accounting, etc.
* Prepare financial statements
* Provide financial analysis tools to evaluate special projects, programs, capital expenditures, job costing, etc. when necessary
* Prepare / monitor company Cash flows & Budgets
* Report financial results / recommendations to Owners
* Interface with outside audit firms(s), outside CPA and banks
* Coordinate the provision of information to external auditors for annual audits
* Managing the development, documentation, and maintenance of accounting policies, procedures, and internal controls; ensuring compliance with GAAP.
* Reconcile Payroll, State and Federal Payroll Taxes with returns filed by payroll service.
* Research corporate registration and tax requirements by state and locality for new contract opportunities – to include corporate taxes, sales & use taxes, payroll taxes, etc.
* Responsible for filing & remitting monthly Sales & Use Taxes
* Comply with local, state, and federal government reporting requirements and tax filings, annual registrations.
* Provide bankers, brokers, etc. financial information for renewing bonding and various insurance policies, i.e. property, general liability, worker’s compensation and health insurance.

**Direct and indirect reports**

* Staff Accountant / Accounts Payable / Accounts Receivable
* HR & Payroll Administrator
* Contract Manager / Accounts Receivable

Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin.

CYE Enterprises, Inc. will not be engaging with agencies to fill this position. We kindly request that recruiters do not forward resumes to CYE Enterprises, Inc. regarding this role."
Domo Data Analyst (REMOTE),Everlight Solar,"Jacksonville, FL, USA","Everlight Solar is seeking a skilled Data Analyst who will design and maintain functional programs and applications, producing fully functional software applications according to requirements. As a Data Analyst, you play a key role in serving our clients and team members. This will be a full-time, work-from-home ""remote"" position.

**This is a role for Apple power-users, must know iWork and be skilled with iOS and macOS.**

Everlight Solar is a rapidly growing company and the leader of solar energy in the Midwest. We offer a unique experience that fosters individual growth and rewards performance. Our culture at Everlight is extremely important to us. The work environment is fast-paced and dynamic. We value teamwork, quality, innovation, and customer success. Our ideal candidate is self-motivated, detail-oriented, has excellent problem-solving abilities, is passionate about delivering results on-time, exceeding expectations, and ensuring success for our teams.

**Responsibilities:**

* Work with large amounts of data to draw meaningful conclusions
* Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality
* Provide regular reporting and analysis to team
* Develop and maintain dashboards and reports to track key metrics and performance indicators
* Collaborate with cross-functional teams to identify areas for improvement and to develop solutions to enhance business operations
* Provide training and support to team members on data analysis techniques and tools

**Requirements:**

* Minimum two years of experience with DOMO
* MajorDOMO Certification Required
* 3+ years experience in data analysis, reporting, business intelligence or financial analysis and a Bachelor's Degree in Business, Statistics, Mathematics, Analytics, Computer Sciences or related field or equivalent experience
* 2 years experience in providing people analytics reporting to organizations
* Demonstrated experience using SQL, and DOMO
* Experience with sensitive and confidential people data in a global environment
* Analyze, evaluate, improve, and document processes and workflows. Identify and take advantage of opportunities for process automation and simplification.
* Proven ability to design and implement new processes and facilitate user adoption.
* Strong understanding of Salesforce.com best practices and functionality
* Strong data management abilities
* A documented history of successfully driving projects to completion
* A demonstrated ability to understand and articulate complex requirements
* Excellent project management skills and a positive attitude
* Must demonstrate exceptional verbal and written communication skills
* Must demonstrate ability to communicate effectively at all levels of the organization
* Must own a Mac computer and be fluent with the Apple ecosystem of software (iOS, macOS, iWork, etc.)

**Benefits:**  


* Health Insurance
* Dental Insurance
* Vision Insurance
* Life Insurance
* PTO
* Sick and Safe Time
* Paid Holidays Off

**Salary: $65,000-$100,000/ year**

*Everlight Solar is proudly an Equal Opportunity Employer. We value diversity of all types and are excited to work with talented individuals from a wide range of backgrounds. Everlight is committed to inclusion and we invite people of any race, creed, color, national origin, ancestry, marital status, sexual orientation, gender identity or expression, disability, nationality or sex, age groups (18+), and levels of education to apply. Authorized to work in the US and background check required.*"
Lead Strategic Finance Analyst,Transplace,"Jacksonville, FL, USA","About the Role We are seeking a dynamic Lead Strategic **Finance** **Analyst** to spearhead our Accounts ... Possessing profound insights into **financial** processes, the candidate will actively contribute to ..."
Financial/Budget Analyst,Community Hospice & Palliative Care,"Jacksonville, FL, USA",The **Financial** **Analyst** prepares and reports budgetary and other **financial** data identifying key drivers regarding **financial** variances within organization budgets. S/he will provide **analysis** and ...
Finance Analyst III,Mayo Clinic,"Jacksonville, FL, USA","Assures the integrity of **financial** and statistical data, via preparation or review of general ledger entries, reports, schedules, worksheets, reconciliations or other **analysis**. Provides leadership in ..."
Financial Analyst,Copyright Clearance Center,"Jacksonville, FL, USA","The Financial Analyst will work within the FP&A group and play a key role in providing cost and margin planning, modeling, and analytical support to business partners throughout the organization. The hired candidate may work in our Danvers, MA office, be hybrid or work remotely residing in the Eastern time zone.  
**What you'll be doing:**

* Create and maintain monthly Revenue and Operating Expense Financial Package; conduct monthly meetings with business partners
+ Track key metrics for revenue and cost across certain business units, functional areas, products, projects, categories, and department; items include: detailed product revenue, cost and margin performance analysis, headcount statistics, discretionary/capital spending and savings and opportunities/risk and exposure
+ Research actual variances versus benchmarks; work with business partners to develop comprehensive explanations of variances and support remediation, as needed
+ Be a thought partner to the organization’s planning processes to support build-out of reporting - partner with business to improve visibility of performance for use and interpretation of results

* Continuously look at opportunities to optimize analytics models and reporting processes to provide more timely and relevant financial insights for organization
* Assist in coordinating company’s planning process including the administration and maintenance of budget and forecast software and compilation of reporting to Executive team and Board of Directors

**What you'll need:**

* Bachelor’s Degree in Finance or Equivalent discipline required
* 3+ years’ experience as a financial analyst
* Proficiency in financial forecasting, modeling, and reporting
* Excellent problem-solving and analytical skills, along with superior attention to detail
* Must function at expert level in MS Excel; Proficiency in Outlook, Word, and PowerPoint
* Ability to extract data from financial systems and into environments such as Power BI and other analytical tools
* Strong written, verbal, and interpersonal communications skills
* Exceptional organization skills; must be able to prioritize multiple tasks and work independently
* Oracle and Salesforce experience a plus

**Success Competencies:**

* Nimble learner – readily learns and adopts new technologies; is resourceful and curious
* Highly organized and comfortable managing multiple projects simultaneously, demonstrating excellent time management skills with attention to details
* Considers all relevant factors and uses appropriate decision-making criteria and principles
* Works cooperatively with others across the organization to align and achieve shared objectives.
* Demonstrates self-awareness; possesses a strong work ethic; manages own workload autonomously.

  


**Compensation range:** 65k to 78k USD   
The actual salary offer to the successful candidate will be based on job-related education, training, licensure, certifications, related experience and other related factors."
Workplace Financial Analyst,"Suddath Van Lines, Inc.","Jacksonville, FL, USA",This position is an integral part of the **FP&A** team focused on producing new insights and **analysis** to help drive key **financial** decisions. Must be able to communicate effectively with team members and ...
Financial Analyst,Pioneer Data,"Jacksonville, FL, USA","Pharmaceutical Vision Care, a member of Pharmaceutical's Family of Companies, is recruiting for a **Financial** **Analyst** located in Jacksonville, FL Key Responsibilities Evaluates accounts on hold ..."
Financial Analyst,Decision Technologies Inc,"Virginia Beach, VA",
Financial Analyst,Decision Technologies,"Virginia Beach, VA",
Grants Analyst (Budget Analyst),Eastern Virginia Medical School,"Norfolk, VA",
Budget Analyst,Portsmouth Public Schools,United States,
FINANCIAL MANAGEMENT ANALYST,US United States Fleet Forces Command,"Norfolk, VA",
PROJECT FINANCIAL ANALYST,Chugach Government Solutions,United States,
Finance Consultant,Sentara Healthcare,"Virginia Beach, VA",
Sr. Financial Analyst,"R3 Strategic Support Group, Inc.","Virginia Beach, VA",
Finance Analyst,"Constellation Navigation and Trading, Inc.","Norfolk, VA",
Project Control Analyst (Job ID: 3367),Valkyrie Enterprises,"Virginia Beach, VA",
Sr. Financial Analyst (Job ID: 3368),Valkyrie Enterprises,"Virginia Beach, VA",
Financial Analyst,Assent Advisory Group,"Norfolk, VA",
Financial Analyst,"Antech Systems, Inc.",United States,
Financial Analyst Support II,Epsilon Systems Solutions Inc,"Norfolk, VA",
Financial Analyst II (100% Onsite),"TQI Solutions, Inc.","Norfolk, VA",
FP&A Analyst - Virtual/Remote,Enumerate,"Virginia Beach, VA, USA","Enumerate needs a **Financial Planning & Analysis Analyst** for our rapidly growing team!Enumerate has grown rapidly through acquisitions and is backed by a leading Boston-based private equity firm. We expect to continue with strategic acquisitions while diversifying our product offerings to include payments-related services for its core HOA customer base.  
  
In this role, you’ll be responsible for budgeting and forecasting as well as the development and delivery of actionable and insightful analyses of both retrospective trends (actual v. planned) and prospective opportunities. Our growth objectives make it critical that we establish reporting, budgeting, and forecasting and analytical models and processes that will enable the company to scale. You will have a leading role in identifying, implementing, and improving upon these core requirements.  
  
You will work closely with multiple teams across the company, providing leaders with an understanding of key performance drivers and how business decisions impact the company’s financial prospects. This role reports to the CFO and will partner closely with the accounting team. Salary range is $75-85k, depending on experience. This position is remote eligible, with a preference for candidates in CST/EST. **Who will love this job**  
* Someone who is a critical thinker with a meticulous approach, high initiative, and the ability to explain financial concepts in “plain English” to non-financial stakeholders

**You should have*** Required: 2+ years of experience in financial analysis, either within a corporate Finance, FP&A function, or within investment banking, commercial banking, or private equity.
* Required: Bachelors in Accounting, Finance, Economics, or other highly quantitative discipline.
* Required: Experience with SaaS (or subscription) revenue recognition, including familiarity with standard SaaS metrics/ KPIs.
* Fluency in O365- especially Excel, PowerPoint, and SharePoint.
* Strong financial modeling skills in Excel including a working knowledge of 3 statement models.
* Ability to both identify and communicate high level concepts and observations while also being able to roll up your sleeves and dive into the details.
* Patience, tact, and a good sense of humor - ability to work effectively and amicably with remote teams across the organization
* Authorized to work in the US without sponsorship.
* Travel of 5% expected for quarterly team meetings.
* Ability to work in the US without sponsorship.
  
**Culture**  
**Why Enumerate**  
  
Our team is changing the face of the HOA Property Technology space as a trusted industry leader for over 30 years. Today, our products enable over 1,500 of the highest-caliber property management companies in the world to grow and protect their organizations. We are a five-time winner of FLCAJ’s Readers Choice Awards for our solutions and support.  
  
Our approach to work is proactive, collaborative, and committed and our team of 140+ are truly passionate about creating a best-run company internally just as we create best-run Property Management Companies for our customers. Learn about our Core Values here.  
  
We offer a full slate of benefits, including competitive salaries, medical (including a $0 option for employees), dental, vision, life and disability coverage, paid vacation, paid holidays, tuition reimbursement, $1,000 employee referral program and a 401(k) plan. When possible, we also like to offer fun in-person perks like pet-friendly offices, paid food trucks and company outings."
Mid-Level Financial Analyst - (Hybrid Schedule),Serco North America,"Chesapeake, VA, USA",Position Description Serco is seeking a **Financial** **Analyst** to join our dynamic fast-paced Serco Systems Integration and Installation (SI2) Project **Finance** Team to handle full life-cycle program ...
Business Analyst,"Capital Strategies, LLC","Norfolk, VA, USA","Capital Strategies is seeking a Business Analyst. The Business Analyst is also responsible for generating and compiling reports based on the findings, complete with probable causes and possible solutions to departmental issues. Performs basic budgeting and accounting functions; conducts financial, statistical, and analytical studies; prepares and assists in the preparation of financial reports, statements, performs related duties as required.  
  
**Essential Functions:**

* Works with Virginia Port Authority personnel to document the department’s vision, project scope, and financial budgeting on actuals vs. budget.
* Elicit requirements for assignments, initiatives, or projects by using interviews, document analysis, business process descriptions, use cases, scenarios, event lists, business analysis, competitive product analysis, task and workflow analysis, and/or viewpoints.
* Participate in department meetings to prioritize projects / initiatives.
* Enter, manipulate, and report specific data according to standard templates, using Key Metrics.
* Assist in managing information consistent with tracking projects for Operations.

**Job Requirements:**

* High School Diploma or GED.
* Bachelor’s degree in Transportation, Business Administration, Data Analytics, Public Administration or related field from an accredited college or university. Directly related experience may substitute for education on a year-for-year basis.
* Comprehensive knowledge of transportation operations, project management techniques, and financial budget review for a transit environment with a minimum of three (3) years of experience.
* An understanding of contemporary requirements, analysis, specification, verification, and management practices and the ability to apply them in practice; familiarity with requirements engineering books and resources.
* Effective oral and written communication skills, and the ability to establish and maintain effective working relations with employees, senior management, Board members, regulatory authorities, and the public.
* High level of analytical and creative skills and the ability to find solutions to moderately complex interpersonal, professional technical and administrative problems.
* Ability to effectively work as a team player.
* Ability to write basic SQL queries to analyze large datasets.
* Ability to work independently.
* Ability to work through complex problems.
* Demonstrated ability in the use of Windows and Microsoft Word and Excel.
* Ability to generate presentations for Staff and Board of Directors.
* Demonstrated ability as a self-starter, responsive to organizational needs, committed to excellence and focused on balancing risk and innovation.

**Preferred Attributes:**

* A minimum of three (3) years of experience working with public agencies, preferably the Virginia Port Authority in the coordination of shipping services.

We offer a comprehensive compensation and benefits package."
PROJECT FINANCIAL ANALYST,Chugach Government Solutions,"Chesapeake, VA, USA","Job Overview The role of the Project **Financial** **Analyst** is to provide Project, Contract, and Program **Financial** Management support to the Program Manager. These tasks will require the employee to have ..."
Project Financial Analyst (Mid-Level),Systems Technology Forum,"Chesapeake, VA, USA","**\*\* Security Clearance Required**

**Company Overview**

Systems Technology Forum LTD (STF) is an established industry partner with a passion for exceptional performance and an unwavering commitment to our clients. As a premier provider of management, engineering, information technology, and logistics services, STF is committed to delivering high-quality systems engineering, technical and professional support services that meet and exceed deliverable requirements.

STF offers superior out-of-the-box solutions to end-to-end problems and customer-centric support to the United States Government, Military, Department of Defense (DoD), and other federal agencies.

**Job Summary**

The role of the Project Financial Analyst is to provide Project, Contract, and daily financial support to Project Control. Reports to Lead STF Project Controller.   
  
Travel is not required.

**Responsibilities and Duties**

Supports the Lead Project controller with financial planning, tracking, and reporting. Tasking support includes financial tracking of labor cost and hours, generating travel cost estimates, and assisting with preparation of Program Review Briefs and Monthly CDRLS to include staffing and personnel reports. Proactively monitor timecards, ensure timecard errors are identified and corrections are processed in a timely manner. Assists in development and execution of internal and external project reviews. Bi-weekly/Monthly Invoice review, ensuring contract compliance and financial accuracy, prior to approval for issuance to customer. Review and tracks purchases, travel, and time charges as required.

**Qualifications and Skills**

**Required knowledge and years of experience**

Four (4) years with degree or Eight (8) years with HS/GED of experience, to include: spreadsheet development, financial analysis, data collection, report processing, and brief preparation. Two (2) years of work experience shall be within DoD. Experience may be achieved simultaneously. MS Excel Proficiency required. Strong skills in MS Word, and PowerPoint. 

Must be organized, detail oriented, motivated, and able to multi-task in a fast-paced and dynamic work environment. 

**Education Requirements**

Associate’s Degree in Business or Computer Science or High School Diploma or GED.

**Clearance Requirement**

Secret

**Benefits and Perks**

At STF, we recognize that talented employees are the foundation of our success. STF provides benefits and compensation packages to help our employees meet the diverse and changing needs throughout their careers and lives. 

**Benefits packages include the following:**

* Medical Plans administered through United HealthCare
* Vision and Dental Plan Benefits
* 401(k) Tax-Deferred Retirement Plan
* Accidental Death and Dismemberment Insurance
* Dependent / Medical Care Flexible Spending Account
* Direct Deposit
* Health and Welfare Medical
* Holiday Leave
* Industry Competitive Salaries
* Life Insurance (basic and supplemental)
* Paid Time Off / Annual Comprehensive Personal Leave
* Performance / Award Bonuses
* Professional Development Coursework
* Technical Training
* Tuition Assistance Program
* TotalChoice™ Voluntary Benefits
* STF Cares / Paid Time Off to Volunteer

*Systems Technology Forum is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class.*

#IND123

Powered by JazzHR

6Zih80Hw2T"
Financial Analyst,Premier Staffing Solution,"Norfolk, VA, USA","* **Position Summary:**
1. The individual will be part of the Company's financial operations team for activity. The position involves supporting the organization through financial reporting, budgeting, cost accounting, pricing oversight for proposal responses, and other financial analysis as needed.

* **Duties and Responsibilities:**
1. Internal and external reporting as required to meet business needs and per contract requirements.
2. Prepare and assist on budget and rolling forecast requirements.
3. Ad hoc projects as required including moderate to complex data gathering and analysis.
4. Assist with preparation and maintenance of departmental policies and procedures. Document new processes as required.
5. Preparing briefs in an executive format to highlight significant provisions of the solicitation, the impact on pricing and general business considerations germane to business case development/pricing.
6. Performing complete quality control oversight on calculations and analyses prior to presentation for business unit review.
7. Assisting in period end processes to include preparing journal entries, completing detailed program analysis, and various other required reporting.
8. Participate on projects as required which may include implementing business processes for new contracts or business opportunities, and/or preparing internal reporting for management decisions.
9. Assist with projects between owner and the company as necessary.
10. Developing and maintaining revenue recognition on new or current contracts.
11. Perform account reconciliation and analysis on diverse set of accounts utilizing tools including NetSuite ERP System and Excel.
12. Performs other position related duties as specified by management.
13. Supports commitment to safety and other selected company standards and certification.

  
  
* **Education and Experience:**
1. Bachelor's Degree from an accredited institution in Accounting required with 3-5 years' experience.
2. Strong analytical skills
3. Demonstrated strong to superior skills using Microsoft Excel and Word
4. Ability to work independently and prioritize - must be goal oriented.
5. Strong written and oral communication skills

  
Financial Analyst-

* Working with controller
* Great personality
* Public accounting - several years in this
* Account Analysis - either currently doing or coming out of
* Budgeting, forecasting - from accounting standpoint
- Must U.S. Citizen

- Must be within Commute distance of office (Norfolk, Virginia)

- Do they have a US Passport - can potentially need it in the future.

- No Relocation allocated for this role"
