title,company,location,description
Financial Analyst,Global Power Components,"Milwaukee, WI, USA","**Global Power Components is interested in every qualified candidate who is eligible to work in the United States. However, at this time we are unable to sponsor Visas.**   
   
**Global Power Components** is a privately held, growing manufacturer of UL heavy gauge steel fuel tanks, trailers, large generator enclosures and modular metal enclosures for housing fully-equipped electrical distribution and control equipment.   
   
In 2018 we moved operations into a newly renovated 300,000 sq. foot facility that will foster our continued growth as we continue to be recognized as the undisputed leaders in our industry.   
  
As a result of continued growth, we are looking for a **Financial Analyst** to join our Accounting team  
  
**Core Responsibilities:** * Maintain, examine, and analyze financial records and transactions.
* Integral role in analysis of monthly performance metrics.
* Collect and compile necessary financial and economic data to perform meaningful. analysis for strategic business decisions.
* Get deep down in the weeds of our data to find meaningful and actionable insights about our business.
* Provide analytical support for design changes and capex decisions.
* Complete misc. projects and ad-hoc reporting as requested.

  
**Requirements for success:*** Passion for your work and a strong desire for continuous improvement. Your team will have this quality, if you don’t, it will show.
* Strong analytical ability and an eye for the details. If you are unsure if this is you, this role may be a struggle.
* Confidence in your ability and the strength of your analysis. You will need to communicate your conclusions which will often represent a problem that needs fixing.
* 1-3+ years of experience with evidence of increasing responsibilities.
* Bachelor’s degree required, CPA a plus.
* Advanced user of MS Excel, PowerBI experience a plus
* Experience working with an ERP system.

   
   
 **Equal Opportunity Employer/Minorities/Women/Veterans/Disabled**  
Global Power Components is an Equal Opportunity and Affirmative Action Employer. Global Power Components is committed to ensuring equal employment opportunities for all job applicants and employees. Employment decisions are based upon job-related reasons regardless of an applicant's race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, marital status, genetic information, protected veteran status, or any other status protected by law."
Financial Analyst,Medical College of Wisconsin,"Milwaukee, WI, USA","In the role of **Financial** **Analyst** you will be working in the **Finance** and Administration Department. Purpose Perform complex **financial** and business-related **analysis**, data manipulation and forecast ..."
Financial Analyst 2,Division 10 Personnel,"Milwaukee, WI, USA","Code 6676

Location Milwaukee, WI

 

Job Description

**Financial Analyst 2**

Exciting opportunity to join an iconic American manufacturer! Our client is seeking a dynamic and experienced individual to join their team on a contract basis. This role offers the chance to lead strategic initiatives, manage supplier relationships, and drive performance within the Finance department.

As the **Financial Analyst 2**, you will provide financial guidance, direction, and analytical support for appropriate functional areas and all corresponding departments within the organization. You will coordinate the development of revenue, cost of sales, expense, capital and headcount, budgets, and forecasts for assigned areas.

**Responsibilities**:

* Generate monthly performance reports, financial analysis, revenue.
* Collaborate cross-functionally and influence decision-making.
* Present financial information clearly and concisely to stakeholders at all levels.
* Interpret complex financial data and draw actionable insights.
* Conduct margin and expense variance review.
* Provide recommendations for corrective actions.
* Participate on special projects.

**Qualifications**:

* Bachelor's degree in Finance, Accounting, Economics, Business Administration, or related field.
* Three (3) or more years of experience in financial analysis, planning, or related roles.
* Prior experience in manufacturing, automotive, or related industries is highly desirable.
* Experience in managing supplier relationships and negotiating contracts preferred.
* Demonstrated experience in leading strategic initiatives and driving performance improvements.
* Experience with ERP systems and financial modeling software.
* Proficiency in Microsoft Excel, including financial modeling and data analysis.
* Knowledge of GAAP and financial reporting requirements.
* Excellent verbal and written communication skills; Strong attention to detail and problem-solving, and analytical skills.

If you are interested in this position, please send resumes to info@division10personnel.com. All inquiries are handled in a confidential manner."
Senior Financial Analyst - Delivery & Corporate Services,Cielo,"Milwaukee, WI, USA",Join Cielo Senior **Financial** **Analyst** - Delivery & Corporate Services. A career at Cielo will give you the opportunity to work with the industry's smartest people and to take ownership of your success
Bilingual Financial Analyst,UNITED COMMUNITY CENTER,"Milwaukee, WI, USA",ACCOUNTANT/**FINANCIAL** **ANALYST** ACCOUNTANT/**FINANCIAL** **ANALYST** ACCOUNTANT/**FINANCIAL** **ANALYST** ACCOUNTANT/**FINANCIAL** **ANALYST** ACCOUNTANT/**FINANCIAL** **ANALYST** ACCOUNTANT/**FINANCIAL** **ANALYST** ACCOUNTANT/**FINANCIAL** ...
Financial Analyst II,Michels Corporation,"Milwaukee, WI, USA","As a **Financial** **Analyst** II, your key responsibilities will be for accounting support across your assigned business(es) within the Michels Family of Companies. Support includes developing, maintaining ..."
"Financial Analyst II, Hybrid",Elkay Interior Systems In,"Milwaukee, WI, USA","**FINANCIAL ANALYST II OPPORTUNITY IN OUR MILWAUKEE CORPORATE OFFICE**

**HYBRID**

 

**WWW.ELKAYINTERIORSYSTEMS.COM**

 

**We are thinkers, innovators, and builders crafting extraordinary interior environments. Are you ready to join us?** 

 

At Elkay Interior Systems (EIS), we work side by side, dare to reimagine the future of design and manufacturing, innovate nonstop, and put our people first. Recognized globally for their creativity, craftsmanship, and talent, our people enrich every project and partnership they serve. 

We provide a relaxed and flexible workspace inspired by our creative people. You'll play an essential role in keeping us at the forefront of global innovation and customer satisfaction. Join our thriving creative community where your ideas make a difference. 

 

As a key member of our Corporate Finance team, the **Financial Analyst** in our dynamic environmentwill get exposure to a wide variety of enterprise projects, and will provide project and analytical support for brand, regional, customer, and national account groups within the sales channels for our business. This role will interface with all internal EIS departments and external customers and reps. This is a great chance to work in an entrepreneurial environment with a nimble organization that values new ideas - bring creative solutions and innovative thinking to the table! Will also have regular senior executive exposure!

 

 

**Specific duties include:**

 

* Monitor financial performance on a regular basis, analyze variances, understand business drivers, and identify opportunities to impact results.
* Monitor and track operating expense trends and meaningfully impact cost control/reductions.
* Assist with product cost analysis and burden rate calculations.
* Perform financial forecasting and budgeting.
* Provide reporting and analysis to support business partner needs.
* Assist with Quarterly Business Review and BOD preparation.
* Support cross functional projects.
* Support ad hoc channel specific initiatives as needed.

 

 

**Qualifications:**

 

* Bachelor’s degree in Accounting, Finance or related required.
* 3+ years’ experience in a financial analysis role required.
* Advanced Excel and database skills and MS Office skills essential; Epicor or equivalent ERP preferred.
* Must be proficient with data gathering and analysis tools to create meaningful reports with ability to draw conclusions and problem solve.
* Must be able to handle multiple projects at once and prioritize.
* Must be process driven with the ability to think critically required.
* Ability to work independently and take initiative while collaborating with on-site and remote business partners essential.
* Excellent analytical, communication and collaboration skills a must.

  


Benefit Overview: 

* 
Competitive Medical, Dental & Vision Plans 

* 
Company Paid Long and Short-Term Disability Plans 

* 
Paid Company Life Insurance Policy 

* 
Attractive Paid Time Off (PTO) Policies 

* 
401K Program with Company Match 

* 
2 Volunteer Days each year (16 hours) 

* 
11 Paid Holidays per year 

* 
Flex work schedule (3 days a week in office required) 

* 
Tuition Reimbursement Program 

* 
Wellness Program 

 

It is the policy of Elkay Interior Systems to comply with all state and federal equal employment opportunity laws and regulations. EIS is committed to giving fair and equal treatment to all individuals. This policy applies to all matters relating to employment including, but not limited to, hiring, placement, promotion, transfer, demotion, recruitment, advertising or soliciting employment, training, compensation, selection for training, layoff or termination, and social or recreational programs. Equal opportunity, regardless of race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, familial status, or veteran status, is company policy."
Insurance Agent,COUNTRY Financial,"Milwaukee, WI, USA","Description Were looking for ambitious, entrepreneurial professionals who want to own their business and help clients prepare for lifes planned and unexpected moments with the right insurance products.  
COUNTRY Financial Insurance Agents have the opportunity and the autonomy to build a rewarding, financially stable career while enriching lives in the communities we serve.  
**The Career**Our Insurance Agents take a consultative approach to grow business with existing and prospective clients. As independent contractors, they are in business for themselves but not by themselves, and they:* **Diversify their income through our portfolio of property and casualty, life and health lines.**
* Have the flexibility to manage their schedules to balance their careers and personal interests.
* Educate clients and prospects about our products and services.
* Collaborate with COUNTRY Trust Bank Financial Advisors to inform clients of our financial products and services.
* Establish an office and build a staff.
**We Offer**COUNTRY Insurance Agents have**uncapped earning potential**without a required buy-in and:* Opportunities to earn performance-based global trips and financial rewards.
* Access to continued learning and marketing resources.
* Affiliation with our 95+ year brand heritage and family-focused culture that values authenticity, integrity, and inclusivity.
 Qualifications Successful COUNTRY Insurance Agents are from different paths, but they are all:

* Entrepreneurial, self-motivated, and goal driven.
* Strong communicators with excellent business acumen.
* Committed to building and maintaining solid connections between their efforts and their rewards.
* Focused on achieving professional success through securing clients trust.
* Passionate about making positive impacts in their communities.

**Required Qualifications**

* Property/Casualty State Insurance License\*
* Life/Health State Insurance License\*

**Preferred Experience**

* Series 6/63 licenses
* Accredited Asset Management Specialist (AAMS)
* Chartered Financial Analyst (CFA)
* Certified Public Accountant (CPA)
* Certified Financial Planner (CFP)
* Chartered Financial Consultant (ChFC)
* Bachelors Degree
* 2+ years of experience in the insurance and or financial services industry
* 5+ years of business ownership or managerial experience

\*These licenses are not required to apply; however, the candidates ability to obtain these licenses is essential when a contract decision is made. About Us COUNTRY Financial is the trade name for a collective of affiliated insurance and financial services companies. This means we have an extended family of support and a large backing.  
For nearly 100 years, COUNTRY Financial has been dedicated to helping others plan for their future while also protecting what matters most to them. What started long ago as a simple commitment on Midwest farmlands has expanded to become a FORTUNE 1000 insurance and financial services organization proudly serving 19 states.  
Our insurance agents, financial advisors, and employees remain dedicated to serving nearly one million households with our diverse range of personal and business insurance products as and financial services products. And our consistent AM Best A+ rating means we have the financial strength to keep the promises we make to our clients.  
  
COUNTRY Financial is the marketing name for the COUNTRY Financial family of affiliated companies (collectively, COUNTRY), which include COUNTRY Life Insurance Company, COUNTRY Mutual Insurance Company, and their respective subsidiaries, located in Bloomington, Illinois.  
Investment management, retirement, trust, and planning services provided by COUNTRY Trust Bank. The investment objectives, risks,charges, and expenses of an investment company should be carefully considered before investing.#CB

  
  
 This is a 1099 position. Commissions, bonuses, and incentives only. The position does not have a salary"
Financial Analyst - FP&A,Zurn Elkay Water Solutions,"Milwaukee, WI, USA","**Financial** **Analyst** - **FP&A** The Company Zurn Elkay Water Solutions Corporation is a thriving, values-driven company focused on doing the right things. We're a fast growing, publicly traded company (NYSE"
Accounting /Financial Analyst,"Global Channel Management, Inc","Milwaukee, WI, USA","Accounting/Financial Analyst needs 3 to 5 years of experience in an accounting role

Accounting/Financial Analyst requires:

Bachelor's degree in accounting

3 to 5 years of experience in an accounting role

Self-starter with the ability to work in a team environment

GAAP

Balance sheet

Intermediate experience in Microsoft Excel and knowledge of SAP 

Accounting/Financial Analyst duties: 

Prepare monthly/recurring journal entries

Process corporate initiated transactions (CITs) from technical accounting

Complete balance sheet reconciliation and analysis

Work across departments and geographical locations to ensure all transactions are properly recorded at month end

Assist the cash and bank team in the research of open cash items

Perform other duties as assigned"
Business / Financial Analyst - III,Pinnacle Technical Resources,"Overland Park, KS","**Responsibilities:**
* Mining various data sources and or providing visualization and analysis of complex data structures.
* Manage creation and distribution process to ensure all contractual obligations are met with regard to data content and timeliness constraints.
* Develop, drive, and track the definition of fundamental metrics
* Provide support on development of dashboards tracking key metrics of program / provider or client performance.
* Establish relationships with all departments and levels of the organization in order to understand the information needs of each.
* Assist with any ad hoc requests or special projects that require data analysis. Qualifications:
* Undergraduate degree in Business, Finance, Management Information Systems, Computer Science, Mathematics, or relevant experience
* Experience mining various data sources and or providing visualization and analysis of complex data structures.
* Intermediate SQL Experience required
* Experience supporting Business Analysts with reporting preferred
* Analyst must possess time management skills, demonstrate the ability to work independently, and possess excellent verbal and written communication skills

Targeted Years of Experience: 5 to 7 years  

**Pay Range: $45- $50**  

The specific compensation for this position will be determined by a number of factors, including the scope, complexity and location of the role as well as the cost of labor in the market; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. Our full-time consultants have access to benefits including medical, dental, vision and 401K contributions as well as any other PTO, sick leave, and other benefits mandated by appliable state or localities where you reside or work."
EDI Business Analyst,Cloud Peritus,"Kansas City, MO",
Technology Operations Analyst,Children's Mercy KC,"Kansas City, MO","Thanks for your interest in Children's Mercy!:

Do you envision finding a meaningful role with an inclusive and compassionate team? At Children’s Mercy, we believe in making a difference in the lives of all children and shining a light of hope to the patients and families we serve. Our employees make the difference, which is why we have been recognized by U.S. News & World Report as a top pediatric hospital, for eleven consecutive years.  

Children’s Mercy is in the heart of Kansas City – a metro abounding in cultural experiences, vibrant communities and thriving businesses. This is where our patients and families live, work and play. This is a community that has embraced our hospital and we strive to say thanks by giving back. As a leader in children’s health, we engage in meaningful programs and partnerships throughout the region so that we can improve the lives of children beyond the walls of our hospital.
Overview:
**Note: This candidate needs to be local to the Kansas City area.**  

**The IT** **Technology Operations (TechOps) Analyst** **is part of a highly technical staff that is responsible for incidents and requests escalated from the Service Desk or Operations teams for Core Infrastructure, End User Compute, Network, and Telecommunication technologies.** **A Technology Operations Analyst is the front-line support for all Tier 3 IT support at Childrens Mercy. This includes system monitoring and troubleshooting of IT Incidents/Requests. Analysts are responsible for following established processes and procedures in the form of training plans, knowledge base articles and organizational documentation. Provides Customer Service to CM staff on IT related issues, communicates in an accurate and effective manner, and escalates major incidents to Sr Analysts or Engineers for help or guidance as needed.**  

**Tech Op’s Analysts are IT generalists and problem solvers no matter the technology. They learn quickly and relentlessly seek/apply knowledge to eliminate single threaded support gaps in an ever-evolving technology landscape. This includes (but not limited to) support/analysis of local area networks (LAN), software, hardware, phone systems, faxing systems, paging systems, user training/support, knowledge article creation, and new technology project deployments** **Telecommunication background and support experience highly preferred****.**  

At Children’s Mercy, we are committed to ensuring that everyone feels welcomed within our walls. A successful candidate for this position will join us as we strive to create a workplace that reflects the community we serve, as well as our core values of kindness, curiosity, inclusion, team and integrity. *Additionally, it’s important to us that we remain transparent with all potential job candidates. Because we value the safety of the patients and families we serve, as well as the Children’s Mercy staff, we want to let you know that the* ***seasonal influenza*** *and* ***COVID-19*** *vaccines are a condition of employment for all employees in our organization. New employees must be willing to be vaccinated if found non-immune to measles, mumps, rubella (MMR) and chicken pox (varicella) and/or without evidence of tetanus, diphtheria, acellular pertussis (Tdap) vaccination since 2005. If you become a finalist for this position, and have any concerns about receiving these vaccines, medical and/or religious exemptions can be further discussed with Human Resources.*
Responsibilities:
* **Incident Management and Problem Management**
* **Request Management**
* **Event Management**
* **Access Management and Documentation**
* **Maintains Technical Competency**


Qualifications:
* **Bachelor's Degree in Computer Science, or related field of study, and 3-5 years' experience OR**
* **High School diploma, or equivalent, and 7 or more years' experience in lieu of a degree**
* **Windows Server 2008 Active Directory, Configuring Preferred**
* **Microsoft Certified Professional in a non-developer area (MCP) Preferred**
* **Citrix certification in Virtualization or Networking Preferred**
* **VMware certification in End User Computing or Data Center Virtualization Preferred**
* **Network+ or CCNA certification Preferred**

  


Starting Pay:

Our pay ranges are market competitive. The pay range for this job begins at $30.73/hr, but your salaried offer will be determined based upon your education and experience.  


Remote Work/Work from Home:

This position is entirely remote or work-from-home. The person hired must live in the Kansas City metro area and may attend on-site meetings, as scheduled.  


EEO Employer/Disabled/Vet:

Children’s Mercy hires individuals based on their job skills, expertise and ability to maintain professional relationships with fellow employees, patients, parents and visitors. A personal interview, formal education and training, previous work experience, references and a criminal background investigation all are factors used to select the best candidates. The hospital does not discriminate against prospective or current employees based on the race, color, religion, sex, national origin, age, disability, creed, genetic information, sexual orientation, gender identity or expression, ancestry or veteran status. A drug screen will be performed upon hire. Children’s Mercy is smoke and tobacco free.  


Our commitment to Diversity & Inclusion:

CM is committed to creating a diverse and inclusive workforce. Our patients and families come from all walks of life, and so do we. We know that our greatest strengths come from the people who make up our team so we hire great people from a wide variety of backgrounds, not just because it’s the right thing to do, but because it makes our hospital stronger and our patient care more compassionate.
If you share our values and our enthusiasm for service, you will find a home at CM. In recruiting for our team, we welcome the unique contributions that you can bring, including education, ideas, culture, ethnicity, race, sex, sexual orientation, gender identity and expression, national origin, age, languages spoken, veteran status, color, religion, disability and beliefs."
Business Analyst,"Lockton, Inc.","Overland Park, KS","Working at Lockton
At Lockton, we’re passionate about helping our people achieve their ultimate potential. Our people are curious, action-oriented and always striving to make ourselves and those around us better. We’re active listeners working to ensure understanding and problem solvers developing innovative solutions. If you can see yourself delivering excellent service to clients, giving back to our communities and being a part of our caring culture, **you belong here.**

Business unit
Lockton Affinity, LLC
Schedule
Full-time
Job type
Standard
Workplace
Hybrid
Your Responsibilities
SUMMARY


Lockton Affinity, in Overland Park, KS is searching for a Business Analyst to join our IT team. At Lockton, information technology is seen as a major contributor to delivering exceptional business results. The Business Analyst position is a key contributor to enable our business vision. Lockton desires associates who want to be part of something bigger than themselves, who possess a positive attitude and who are tenacious about overcoming obstacles encountered.


You’re expected to challenge the status quo and help steer the team towards innovative solutions. Our team is driven, passionate, creative, energetic, and fun. We love to challenge each other and ask hard questions, then figure out the answer and solve the problem together.


ESSENTIAL DUTIES AND RESPONSIBILITIES include the following.


* Ability to understand desired future state in context of current business environment.
* Defines incremental steps to achieve desired business results.
* Can create innovative approaches to problems, is comfortable challenging the status quo.
* Experienced with Agile approaches and can decompose complex problems into workable team assignments.
* Ability to learn new systems and concepts quickly, building a strong repertoire of business and technical knowledge.
* Ensure that project team has clear understanding of functional requirements and business expectations.
* Collaborate with creative team and ensure that user experience and visual design align with functional requirements.
* Work with QA to develop testing strategy, identify test cases and participate in UAT.
* Serve as a subject matter expert on the ecommerce solution and platform both for client and for the project team.
* Create training materials for train-the-trainer and end-user training sessions.
* Interacts with project team and management to identify and document benefits, costs, and risks associated with solution alternatives.
* Works to ensure the technical/business design matches the detailed user requirements and system needs.
* Define a process for change management and proactively manage requirement changes.
* Proactively identify risks around requirements and communicate to team leads and PMs.
* Helps to ensure proper communication, process flow, data quality, reliability, integrity and security for automated systems as needed.
* Documents procedures, policies and guidelines to support daily operational processes as needed.
Qualifications
EDUCATION/EXPERIENCE:
  

* BS/BA degree preferred
* 3-5 years relevant work experience required.
* Familiar with agile development methodology, including use case scenarios and user stories.
* Strong project management, time management, initiative and interpersonal skills.
* Experience in articulating and documenting user requirements.
* Experience in planning and performing functional testing.
* Experience with Microsoft Suite including Advanced Excel and Visio.
* Experience with project and collaborations tools such as MS Teams, SharePoint, and Workfront.
* Ability to express complex technical concepts effectively, both verbally and written.
* Some off-shift support and travel may be required
* Experience within the insurance and brokerage industry is a plus.
OTHER SKILLS AND REQUIREMENTS:


* Provides exceptional customer service and adheres to departmental expectations.
* Promotes teamwork and communication between departments and work groups.
* Makes decisions in compliance with established corporate and department standards.
* Maintains awareness of new system procedures, processes, software capabilities and other technological advances with potential impact to Lockton.
* Attends staff meetings, department meetings and educational workshops.
* Organizes formal presentations to Lockton decision-makers.
* Understands when circumstances require persuasion, conciliation, assertiveness, or other approaches and reacts appropriately.

  

The preceding job description has been designed to indicate the general nature and level of work performed by Associates within this classification. It is not designed to contain or be interpreted, as a comprehensive inventory of all duties, responsibilities, and qualifications required of Associates assigned to this job. Other duties may be assigned to meet business needs.


Equal Opportunity Statement
Lockton Companies is proud to provide everyone an equal opportunity to grow and advance. We are committed to an inclusive culture and environment where our people, clients and communities are treated with respect and dignity.


At Lockton, supporting diversity, equity and inclusion is ingrained in our values, and we believe that we are at our best when we fully embrace everyone. We strive to cultivate a caring culture that learns from, celebrates and thrives because of our breadth of differences. As such, we recognize that recruiting, developing and retaining people with diverse backgrounds and experiences is vital and enabling our people to thrive personally and professionally is critical to our long-term success.


About Lockton
Lockton is the largest privately held independent insurance brokerage in the world. Since 1966, our independence has allowed us to serve our clients, take care of our people and give back to our communities. As such, our 10,000+ Associates doing business in over 100 countries are empowered to do what’s right every day.


At Lockton, we believe in the power of all people. You belong at Lockton.


How We Will Support You
At Lockton, we empower you to be true to yourself in all that you do. Your success is our success, and we provide opportunities to help you grow and create a rewarding career path, however you envision it.


We are ready to meet you where you are today, and as your needs change over time. In addition to industry-leading health insurance, we offer additional options to support your overall health and wellbeing.

  



No Agencies Please
Any Employment Agency, person or entity that submits an unsolicited resume to this site does so with the understanding that the applicant's resume will become the property of Lockton Companies, Inc. Lockton Companies will have the right to hire that applicant at its discretion and without any fee owed to the submitting Employment Agency, person or entity. Employment Agencies, who have fee Agreements with Lockton Companies must submit applicants to the designated Lockton Companies Employment Coordinator to be eligible for placement fees."
