title,company,location,description
IT Network and Desktop Specialist,Brokerage Services,"Jersey City, NJ, USA","**Job Title: IT Network and Desktop Specialist**

**Location: Jersey City, NJ**

**Job Description:** 

**The IT Network and Desktop Specialist will work closely with team members and brokers across the country to resolve technology issues quickly and effectively. A major responsibility will be to manage our IT infrastructure which supports several branch offices across the country as well as our employees who may work from home. The role may require after-hours updates and installations as well as supporting management in its efforts to keep the company protected from any technology disruptions.**

**Responsibilities:**

* **Troubleshoot and recover from PC and network issues in a fast-paced, dynamic environment.**
* **Perform diagnostics of network issues.**
* **Assist in supporting network equipment and internal corporate servers.**
* **Assist in user desktop issues, helps with computer software installation, solves email access and routing issues, assists with desktop backup and archiving.**
* **Assist with the administration and maintenance of IP based telephony systems, such as provisioning handsets, setting up extensions, supporting user requests.**
* **Manage scheduled server backups.**
* **Create scripts on servers.**
* **Manage and maintain network infrastructure and equipment.**
* **Assist the IT Manager with Firewall Administration to include:**
* **Protecting WAN/LAN from attacks.**
* **Managing VPNs.**
* **Assess processes and create and update policies as applicable.**
* **Work with Various Voice and Data vendors.**
* **Working with NAS storage.**
* **Provide support for day-to-day operational tasks such as proactive maintenance, management, monitoring performance, incident and problem management, security, and backup and recovery across the network infrastructure.**
* **Recommend hardware and software improvements.**
* **Work with IT staff to assist in completing special tasks and projects as required.**

**Professional/Technical Skills**

* **Ability to configure and manage Linux servers.**
* **Ability to manage AWS Auroa Postgres database.**
* **Ability to manage Cisco Firewalls and Switches**
* **Understands firewalls and associated rules.**
* **Ability to analyze data flow and manage ISP bandwidth.**
* **Possess knowledge of NAS storage.**
* **Understands issues involved in administering and maintaining corporate LAN infrastructure, including network cabling, testing network connectivity, firewall configurations, tablet, and desktop internet applications, etc.**
* **Ability to resolve desktop issues in a Windows environment.**
* **Understands issues involved in administering and maintaining corporate WAN infrastructure, WAN and Internet routing protocols, etc**
* **Understands network address management concepts, including IP sub-netting.**
* **Possess working knowledge of major server operating systems, including but not limited to Linux and Windows Server versions.**

**Qualifications**

* **Computer Science degree preferred.**
* **2-3 years proven track record as a Desktop Support and/or Jr. Network Administrator.**
* **Experience in Financial Industry preferred, including working with Bloomberg.**
* **Must be able to handle multiple priorities in a fast-paced environment.**
* **Excellent organizational skills and attention to detail.**
* **Excellent communication skills and ability to interact professionally with employees and external vendors.**
* **Provides timely and accurate response to assigned tasks.**
* **Demonstrates capacity to adapt and learn in a dynamic work environment.**
* **Manages time effectively, is punctual and responds to requests to work flexible hours.**
* **Ability to work independently and in a team environment to resolve issues and meet deadlines.**
* **Self-motivated to learn and acquire new skills.**"
Supervisory Maintenance Technician,Wessex Management LLC,"Hillside, NJ, USA","**Summary:** Responsible for the execution, implementation and close supervision of the preventative maintenance system, to ensure preservation and upkeep of all buildings. 

 

**Duties and Responsibilities** include the following. Other duties may be assigned. 

 

1. Regular inspection of buildings and grounds, notifying deficiencies of operating employees and service contractors, physical appearance of property, deferred maintenance and other related data to the Property Manager.

 

1. Trains, leads and becomes a resource to support staff to ensure staff is performing to expectation, informed of company policies, procedures, schedules all tasks are completed correctly, with attention detail and in a timely manner.\*

 

1. Supervises and assists subordinates in the cleaning of the community buildings, laundry rooms, office building, maintenance shop, storage areas, grounds, daily collection of debris on landscaped areas and continual sweeping of parking lot and dumpster areas.\*

 

1. Assists with the development and preparation and execution of property objectives, financials and goals including input for the preparation of the annual budget, business plan, rent increases, bid specifications and management of competitive bids and contract performance evaluation.\*

 

1. Accurate and timely completion of annual Unit Inspection and inventory of all project maintenance equipment and submittal to the Property Manager by December 1st of each year.\*

 

1. Responsible for timely initial response to HUD, HFA, state and local inspection reports. \*

 

1. Policing and inspection of buildings, pool, play area and overall grounds, as well as, noting any deficiencies of the physical appearance of the property and any other related data and reporting same to the Property Manager or Executive Property Manager.\*

 

1. Preparation and participation of emergency procedure manual and subsequent drills. Upon notification from the Property Manager or Executive Property Manager, be available for emergency duty (on call rotation), snow removal and in case of fire or any other emergencies as defined by management.\*

 

1. Observe, delegate, repair and ensure resolution of: light bulb replacement, sewer back-ups, smoke alarm operations, accompany contractors, cleanliness and presentation of vacant units, flooring upkeep; carpentry, plumbing, electrical, HVAC and appliance repairs; and necessary tile work.\*

 

1. Report and submit in a timely manner to the Property Manager or Executive Property Manager; lease infractions, completed daily task sheets, observation check list and related deficiencies in service, incident reports (within 24 hours for property, injuries and disturbances), work orders, as well as, applicable maintenance request forms. \*

 

1. Ensure employees are properly using designated safety equipment such as gloves, goggles, hard hat, ear protector and work books while operating **any** equipment.

 

1. Educates tenants on applicable rules and regulations of the property including; garbage disposal, appliances and heating/cooling systems, etc.

 

1. Adheres to all company policies and procedures.

 

1. Responsible for the security of the building(s) in regards to proper key control and continual observation and resolution of potential issues.

 

1. Follow and enforce safety rules such as our “No Smoking” policy in designated areas such as vacant and occupied unites, boiler rooms, storage areas and the management office.

 

1. Maintain discretion, confidentiality and provide customer service to all residents. Only address and communicate responses to your position level and responsibilities. Direct all residents to the Management Office for maintenance/repair requests.

 

1. Appear in court on behalf of the owner, ensuring our organization is presented in a professional, detailed and positive manner.

 

 

**Qualifications**

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

 

**Education/Experience:**

High school diploma or general education degree (GED); and four to six years related experience and/or training; or equivalent combination of education and experience.

 

**Language Ability:**

Ability to read, analyze and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, business correspondence and procedure manuals. Ability to effectively present information and respond to questions from groups of manager, clients, customers and the general public.

 

**Math Ability:**

Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference and volume. Ability to apply concepts of basic algebra and geometry.

 

**Reasoning Ability:** 

Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists. Ability to interpret a variety of instructions furnished in written, oral, diagram or schedule form. 

 

**Special Skills:**

Oral communication skills Multi-Tasking

Professionalism Delegation

Training Written communication skills 

Time management Technical communication

Attention to detail Discretion

Reading skills Mechanical aptitude

Organization Diplomacy

Customer Service Follow Up

 

**Computer Skills:** 

Email, Internet and Microsoft Office

**Certificates and Licenses:** 

Valid Driver's License

 

**Work Environment:**

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

 

While performing the duties of this job, the employee is occasionally exposed to work in wet or humid conditions, work near moving parts, work in high precarious places, exposure to toxic or caustic chemicals and fumes or airborne particles, extreme heat (non-weather) and vibration. The employee is frequently exposed to outdoor weather condition and risk of electrical shock.

 

The noise level in the work environment is usually loud.

 

**Physical Demands:**

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

 

The employee must occasionally lift and/or move 75 pounds and frequently lift and/or move up to 40 pounds. Must occasionally lift/move heavier objects (Refrigerator, Stove, etc.) with assistance. Specific vision abilities required by this job include close vision, distance vision, depth perception and ability to adjust focus. While performing the duties of this job, the employee is regularly required to; use hands, stand; walk; reach with hands and arms and talk or hear; stoop, kneel or crouch. The employee is occasionally required to sit; climb or balance; taste or smell."
Data/Security/AV Installer,Wanderlogic,"New York, NY, USA","Low Voltage, Audio Video, Security, Data Installer.  
  
We are a North Jersey-based low voltage installation company and are looking for experienced installers for high-rise commercial installations. We are a small company but growing rapidly - this is a great opportunity to grow with us. We offer medical, vision, dental, and a company-matched 401k.  
We are looking for members to join our team and will give priority to candidates looking for full-time employment - we will also consider 1099 individual or Corp to Corp. for individuals looking to expand their workload. **We are looking for candidates with experience in ANY of the following fields:*** CCTV and IP Camera Installation.
* Alarm and Access Control.
* Audio and Video Installation and Configuration.
* VoIP.
* Phone and Data Wire Installation.
* Automation Systems and Programming.

With us, you will have access to cutting-edge installations and training on the latest in our industry.  
  
**REQUIREMENTS:**  
**Some key requirements that you MUST have:*** Valid driver's license.
* Cell phone.
* Reliable transportation.
* Friendly demeanor.
* Desire to serve the customer.
* Desire to learn and advance your skills.
* OSHA 10
* SST 40

**Some additional key skills and attributes we would like to see are:*** CEDIA Certification.
* Prior work experience with an installation company.
* Prior work experience with an alarm company.
* Prior work experience with an electrical company.
* Control4 Certification.
* IT skills.

  
  
**About Wanderlogic:**Wanderlogic has been in business since 2005. Our mission remains to provide great customer service while leveraging the latest technology available."
Bilingual Entry Level Position $70K Starting Salary,"Ginarte Gonzalez & Winograd, L.L.P.","Newark, NJ, USA","**Responsibilities include but are not limited to:**

* Ability to interact and communicate (orally and in writing) with staff, court representatives, clients and witnesses.
* Compile and analyze case documents for hearings and trials.
* Coordinate case schedules with courts, law enforcement officials, witnesses, and defense attorneys.
* Draft correspondence and legal documents.
* Assist attorneys with proofreading, cite checking, and locating files and documents.
* Performing routine administrative duties when necessary including: photocopying, filing, scanning, archiving, data entry, indexing, reserving conference rooms, and managing attorneys' calendars.
* Assist in obtaining, reviewing, updating and maintaining physical and electronic case files.

**Qualifications:**

* Detail-oriented with the ability to follow directions and apply proper policies, procedures, and guidelines.
* Proficient in Microsoft Word, Outlook emails, and additional computer software applications.
* Ability to work independently with frequent interruptions, manage deadlines, and adapt to changes in workflow.
* Strong attention to detail and high concern for data accuracy.
* Fluency in Spanish is necessary.

**Educational Requirements:**

* Bachelor’s degree required or expected by candidate's start date."
Level 3 Technical Engineer/Cloud Solutions Specialist,Managed Services Provider,"Scotch Plains, NJ, USA","**Role Summary:** We're on the hunt for a seasoned Level 3 Technical Engineer with a strong background in cloud technologies and a passion for the ""modern work"" environment within the Microsoft 365 ecosystem. The role requires a blend of technical prowess in Azure infrastructure and a deep understanding of Microsoft 365 collaboration tools, security, and compliance features to support dynamic work environments.

**Key Responsibilities:**

* Architect, deploy, and manage comprehensive Microsoft 365 solutions, including Teams, SharePoint, OneDrive, and more, promoting a modern work environment.
* Lead cloud infrastructure projects with a focus on Azure, ensuring high performance, reliability, and scalability.
* Troubleshoot complex issues in cloud and modern work solutions, providing L3 support to our clients and internal teams.
* Utilize Autotask, Datto, and other MSP-specific tools to streamline service delivery and enhance customer satisfaction.
* Perform security assessments within the Microsoft 365 suite, identifying and mitigating risks to protect data and ensure compliance with industry standards.
* Stay updated with the latest trends in cloud services, modern workplace technologies, and security practices to guide strategic planning and service improvement.

**Qualifications:**

* Solid experience with Microsoft 365 and Azure deployments, with a focus on enabling modern work environments through collaboration and productivity tools.
* Expertise in utilizing MSP-specific technologies like Autotask and Datto for efficient service management.
* Knowledge of cybersecurity principles, compliance frameworks, and risk assessment methodologies relevant to cloud and modern workspaces.
* Strong analytical and problem-solving skills, with the ability to manage high-pressure situations.
* Excellent communication skills for effective teamwork and client interactions.
* Relevant certifications (e.g., Microsoft 365 Certified: Enterprise Administrator Expert) are highly preferred."
Security Director,BronxWorks,"New York, NY, USA","BronxWorks helps individuals and families improve their economic and social well-being. From toddlers to seniors, we feed, shelter, teach, and support our neighbors to build a stronger community. In all aspects of our work, we strive for the highest ethical and performance standards and guided by the belief that people are to be treated with dignity and respect regardless of their present situation or past experiences. We have 60 locations throughout the borough providing a variety of programs that offer assistance in the areas of family, children and youth support, educational services, elder care, homelessness, mental health, and workforce development. We are an employer of choice for anyone interested in a meaningful career in the social services field.  


**ESSENTIAL RESPONSIBILITIES:**

* Responsible for performance of all security staff
* Oversee the recruitment and hiring of all BronxWorks security staff.
* Provide, coordinate and ensure proper training and up to date licensure and required credentials for all security personnel; work with the Training Department to establish tracking of employee training.
* Ensure Security Coordinators are interacting daily with site directors regarding personnel/client issues; personnel scheduling and personnel schedule planning.
* Ensure Security Coordinators plan and convene monthly staff meetings which include Security Director and site Program Director
* Ensure Security Coordinators liaise with various community entities and actively participate in Precinct Community Councils
* Provide investigative assistance to the General Counsel as needed.
* Provide crisis intervention 24 hours a day, seven days per week.
* Model use of de-escalation strategies and positive interactions with all clients and promote use of same strategies with all security personnel.
* Conduct monthly regular security inspections of all sites to ensure employee and client safety
* Ensure all sites are following FDNY fire safety regulations; ensuring fire panels work properly, that security staff have adequate training and relevant certificates to operate
* Manage relationships with security vendors.
* Ensure all CCTV systems are operational at all times.
* Manage the collection, presentation and reporting of security data including incident reports.
* Review all security-related incident reports, provide feedback and follow up as necessary
* · Ensure records, reports and logs are maintained in a uniform, consistent manner and appropriately reviewed at all sites
* Collaborate with HR, the site director and Security Coordinators in security staff disciplinary matters
* Monitor ADP schedules and timecards, support Security Coordinators to ensure schedules are posted on a timely basis and are completed in a consistent manner across the organization
* Oversee scheduling to limit unnecessary overtime pay and remain within security budgets.
* Conduct regular and effective Security Coordinator meetings
* Provide, coordinate and deliver training for security personnel
* Oversee continuous quality and process improvement in security policies, procedures, and equipment
* Ensure comprehensive fire prevention and related safety measures are deployed in all BronxWorks residential facilities
* Ensure consistent policies and procedures across the department and clear documentation, enforcement, and communication about them
* Ensure timely and accurate incident reporting into CARES per DHS priority outline and BronxWorks standards
* Enforce facility, BronxWorks, Department of Homeless Services, and other regulatory policies and procedures.

  


**WORKING CONDITIONS:** 

* Operates in a residential facility for single adults and/or families with onsite social service and office environments.
* Routinely uses standard office equipment such as computers, phones, copiers, filing cabinets and fax machines
* Facilities operate 24 hours a day, 7 days a week with 8 hour shifts
* Employees may be assigned to more than one facility if necessary.

  


**REQUIRED JOB QUALIFICATIONS**: 

*Education and Experience Required:*

* At least fifteen (15) years of experience in law enforcement or in a related field
* Former law enforcement officers with supervisory experience preferred.
* Demonstrated experience operating surveillance camera systems.
* MOVE
* Bachelor’s degree required; master’s degree preferred.
* Five years supervisory experience
* Experience with implementation and management of databases, schedulers, etc. preferred.

*Certifications & Licenses Required:*

* NYS Security Guard
* Must obtain and maintain required Fire Safety Certificates within three (3) months of hire.
* CPR/ First Aid and Narcan Certification required within three (3) months of date of hire.

*Knowledge, Skills, and Abilities Required:*

* Strong oral and written communication skills
* Strong interpersonal skills and ability to build trust and effective professional relationship.
* Ability to lead and manage others and to manage 24-hour work schedules.
* Proficiency in Microsoft Office suite and other standard business technology.
* Understanding of and commitment to organization’s mission, vision, and values.
* Ability and willingness to perform all duties as workload necessitates.
* Ability to drag at least 80 pounds · Ability to lift at least 40 pounds.
* Ability to stand, walk, or sit for long periods of time.
* Ability to travel throughout New York City via public transportation.
* Possess a valid driver’s license from the state in which the bearer resides; ability to become a BronxWorks approved driver.

  


BronxWorks seeks to build an inclusive organization grounded in respect for differences. BronxWorks is committed to equal employment opportunity and providing reasonable accommodations to qualified candidates and employees pursuant to applicable law. This commitment applies to all terms, conditions, and privileges of employment, including but not limited to recruitment, hiring, compensation, training and employee development, placement, promotion, demotion, upgrading, downgrading, transfer, layoff and termination. We value and encourage diversity and solicit applications from all qualified applicants without regard to race, color, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, military and veteran status, gender identity or expression, genetic information, status as a victim of domestic violence, or any other characteristic protected by federal, state, or local law.   


  


**#IDHGH**

****#ZR****"
Building Maintenance,11 11 Systems,"Carlstadt, NJ, USA","The Role: 

11:11 Systems is seeking an experienced Building Maintenance technician for hands-on general facility maintenance and repairs. Work may include a variety of repair items such as replacing ceiling tiles, painting/patching, basic plumbing, and minor HVAC work (i.e. filters/belts). The ideal candidate will be self-motivated and have commercial facility maintenance experience. 

This is a full time role based at the 777 Central Blvd. site in Carlstad, New Jersey. This role will report to the Sr. Director of Datacenter Infrastructure.

  


What You’ll Do: 

* Perform general facility maintenance and repairs including patching/painting, plumbing, lighting systems, and mechanical/electrical systems.
* Walk through property on a daily basis to spot potential repair items (i.e. water leaks)
* Develop a schedule for routine checks and common repairs.
* Work with other technicians on larger projects as needed.
* Monitor and respond to tickets with assigned work.
* Work supportively with colleagues, operating in a manner that is consistent with 11:11’s Code of Business Ethics and Company Values
* Responsibly receive, transmit, and handle company data and information per Company data handling agreements, work procedures and policies
* Review and follow company policies and guidelines, data privacy practices, including annual compliance training certification and policy acknowledgements
* Additional duties as assigned
Who You Are & What You’ll Bring: 

* Four+ years of work experience required.
* Strong experience in general facility maintenance.
* Experience with basic HVAC maintenance such as replacing air filters and fan belts on air handlers and washing condenser coils on rooftop units.
* Knowledge of basic low voltage electrical systems, i.e. wiring up a plug or light switch.
* Basic plumbing experience such as unclogging drains and repairing/replacing fixtures.
* Ability to operate a variety of hand tools, power tools and machinery including saws, drills, and other common equipment.
* Excellent communication skills, self-motivation, and positive attitude.
* Advanced experience with HVAC and low voltage electrical systems are a huge plus.
* Prior maintenance experience in data centers and other mission critical facilities is a plus.
* Must be legally eligible to work in United States without visa sponsorship
  
To perform this job successfully, an individual must be able to perform each essential function satisfactorily. The requirements listed above are representative of the knowledge, skill, and/or ability required. Reasonable accommodation may be made to enable qualified individuals with disabilities to perform the essential functions. 

  


**Benefits**

  


* Competitive Salary
* Bonus Plan
* RRSP (Registered Retirement Savings Plan)
* Healthcare Insurance Plan
* Dental Insurance
* Vision Insurance
* Life Insurance
* Short-Term Disability Insurance
* Long-Term Disability Insurance
* Paid Vacation & Holidays

 

  


About 11:11 Systems

  


11:11 Systems is a managed infrastructure solutions provider that holistically addresses the challenges of next-generation managed cloud, connectivity and security requirements. The 11:11 model empowers customers and partners to “Rethink Connected,” which includes integrated services that deliver increased performance, optimization and savings. 11:11 provides cloud, connectivity and security solutions from its global footprint of data centers throughout North America, Europe, Australia and Asia. Learn more at 1111Systems.com"
Data / Voice Cabling Technician - New Jersey & NY Techs needed,Immediate Technical Services Inc,"Elizabeth, NJ, USA","Duties include:

* Installation, troubleshooting, repair, and termination of Cat 5e, 6, coax, and fiber optic cables.
* Experience with video & security systems, including running video/audio cabling, DVR system setup & troubleshooting is a major plus.
* Experience with running phone lines, punch down blocks, & line/extension troubleshooting is a major plus.
* Experience with patch panel Installation
* Use of test equipment and appropriate hand tools as needed during installation or repair.
* Updating documentation, as appropriate, for customer and other technicians.  
  
Successful candidates will have:
* Must Have their own personal tools; small personal drill, crimper, punch down, P-touch Labeler, wire map tester , etc. excluding Certifiers and Power Tools.
* Proficiency with testing equipment.
* Working knowledge of current cabling standards and codes.
* Professional appearance and demeanor.
* Must be a team player as our techs often work together
* Strong communication skills.
* Physical ability to lift up to 60 pounds and work on ladders.  
  
Applicants must possess a valid driver's license, current auto insurance, and have a good driving record. Successful candidates must pass pre-employment background check and drug testing."
Entry-Level Data Entry Specialist,Affiliated Monitoring Inc,"Union, NJ, USA","Description:**Located on a beautiful campus in Union, New Jersey, our state-of-the-art monitoring center facility is the most advanced in the United States. The team at Affiliated Monitoring protects millions of people by monitoring their security alarms and medical alert systems.**

  


**Our team currently has multiple openings for an entry-level Data Entry Specialist. Working as part of our Advanced Team, this critical role help is instrumental in maintaining an accurate customer database for life safety monitoring.** **You will be interpreting and implementing data from partners ranging from nationally recognized security, PERS and IoT providers to unique technology startups.**

  


**This position requires critical thinking and problem solving skills.**

  


**What You’ll Do:**

· Manage Data Request cases out of a queue

· Learn various software utilized on a daily basis in job performance

· Stay current on Data procedure and practices

· Focus on Partner requests and, when needed, advise on best method to accomplish

· Collaborate within our organization to provide the best partner experience

Requirements:· Focus and attention to detail are crucial

· Ability to work both independently and as part of a team

· Aptitude to learn new and updated procedures

· Ability to display a positive outlook, patience, intellectual curiosity

· Strong interpersonal skills and the ability communicate confidently both in verbal conversations and the written word

· Ability to work in a fast-paced and constantly evolving environment

· Desire to seek continuous training and personal development opportunities"
Business Manager,Behavioral Health Clinic,"Brooklyn, NY, USA","**Job Overview:**

We are an outpatient Behavioral Health Clinic seeking a highly skilled and experienced Business Manager to join our team. As the Business Manager, you will be responsible for overseeing the day-to-day operations of our company and ensuring its success. You will play a crucial role in managing various aspects of the business, including process improvement, compliance, HR, and strategic planning. If you are a dynamic leader with a strong business acumen, we would love to hear from you.

**Qualifications:**

* Bachelor's degree in healthcare administration, business management, or a related field (Master's degree preferred). 5 years experience in healthcare management in lieu of education may also be considered.
* Proficiency in using electronic health record (EHR) systems.
* Excellent leadership and management skills, with the ability to motivate and develop a team.
* Strong organizational and problem-solving abilities, with attention to detail.
* Excellent communication and interpersonal skills to effectively interact with staff, patients, and external stakeholders.
* Familiarity with compliance and regulatory requirements for behavioral health clinics.
* Ability to adapt to a fast-paced environment and handle multiple priorities.

**Minimum Experience:**

5 Years managerial experience

**Duties:**

* Strategic Planning: Developing and implementing business strategies and plans to achieve company goals. This involves analyzing market trends, identifying opportunities and risks, and making recommendations for growth and improvement.
* Front Desk Operations Management
* Supervise and train front desk staff, ensuring they have the necessary skills and knowledge to perform their duties effectively.
* Manage patient scheduling, check-in, and check-out processes to ensure smooth operations and minimal waiting times.
* Address patient concerns and complaints promptly, providing excellent customer service and maintaining a professional and welcoming atmosphere in the clinic.
* Human Resources Management:
* Manage the human resources function, including recruitment, onboarding, training, performance management, and employee relations.
* Develop and implement HR policies and procedures, ensuring compliance with employment laws and regulations.
* Oversee benefits administration, and employee records management.
* Staff Management and Development:
* Recruit, train, and supervise front desk staff, providing ongoing performance feedback, coaching, and professional development opportunities.
* Conduct regular performance evaluations and implement strategies to enhance staff productivity and job satisfaction.
* Foster a positive and inclusive work environment that encourages teamwork and collaboration.
* Business Development: Identifying and pursuing new business opportunities. This includes conducting market research, developing relationships with potential clients or partners, and participating in business negotiations to expand the company's customer base and market presence.
* Risk Management: Assessing and mitigating risks that may impact the business. Identifying potential risks, developing contingency plans, and implementing risk management strategies to protect the organization's interests.
* Stakeholder Management: Building and maintaining relationships with key stakeholders, such as customers, referral sources, investors, and regulatory authorities. Act as the point of contact and represent the company's interests in external communications and negotiations.
* Performance Monitoring and Reporting: Tracking key performance indicators (KPIs) and preparing regular reports to evaluate the business's performance. Analyze data, identify trends, and make recommendations for improvement to drive growth and profitability.
* Compliance and Regulatory Requirements:
* Stay updated on relevant laws, regulations, and industry standards pertaining to OMH and OASAS clinics, ensuring compliance in all aspects of clinic operations.
* Ensure patient confidentiality and data security by overseeing HIPAA compliance and maintaining proper documentation practices.
* Liaise with insurance providers, government agencies, and regulatory bodies as required.
* Ensure staff keep up with mandatory compliance training schedule.
* Continuous Improvement: Promoting a culture of continuous improvement within the organization. Encourage innovation, seek opportunities for process optimization, and implement best practices to enhance operational efficiency and drive business growth.
* Regularly meet with supervisor to discuss and resolve reimbursement issues, obstacles and clinic operations.
* Update job knowledge by participating in various educational opportunities, as requested by supervisor
* Other duties as assigned.

Job Type: Full-time

Salary: $45,000.00 - $65,000.00 per year

Benefits:

* 401(k)
* Health insurance
* Paid time off
* Parental leave

Schedule:

* Monday to Friday

Ability to Relocate:

* East New York, NY: Relocate before starting work (Required)

Work Location: In person"
Power BI Architect,EXL Service,"Jersey City, NJ, USA","Ensure appropriate **security** measures are in place to secure company **data** in Power BI. This includes setting up access controls, creating **data** **security** policies, and implementing encryption. \* Manage ..."
DevOps Security Engineer,"Ciphertext Solutions, Inc.","Wyckoff, NJ, USA","**Job Summary**We are seeking an experienced **DevOps Security Engineer** to join our team! This remote role requires you to work Eastern Standard Time hours. You will be responsible for ensuring the safety and security of the data in our care, identifying, and eliminating threats before they start, and strengthening security integration at every phase of the software development lifecycle. As a DevOps Security Engineer, you will work closely with developers to deploy and manage code changes, ensure systems are operating effectively, and confirm compliance with security best practices. To succeed in this role, you must have a strong understanding of development and operations processes with a solid technical background. You will create reports on security protocols to present to upper management and other department heads. The ideal candidate has a proven track record in Development Security Operations, in-depth knowledge of best security practices, and demonstrable experience leading projects. If you're dedicated, reliable, and ambitious, Ciphertext Solutions is an excellent place to grow your career. **Responsibilities for DevOps Engineer*** Create, audit and assess security risks, IT policies and data recovery plans, ensure metrics are being met, and projects are being completed in a timely manner
* Analyze and strengthen integration at every phase of the product development lifecycle
* Maintain and adjust any documentation in regard to common technology processes, including policies and procedures
* Investigate and document any security incidents and handle documentation and remediation
* Monitor security systems to protect data and spot any questionable activity before it becomes a threat
* Present reports to upper management to discuss security concerns and ongoing efforts, as needed
* Educate colleagues on information security management
* Maintain company certifications
* Respond to any security incident outside of core work hours

 **Qualifications for DevOps Engineer*** Previous experience as a Computer Security Specialist, Cybersecurity Analyst, or similar role is preferred
* A bachelor’s degree in computer science, Cybersecurity or a related field is preferred
* Strong interpersonal and communication skills
* Demonstrable experience leading projects
* Self-driven and motivated
* Deep understanding of best security practices
* Professional experience and a high-level understanding of working with various operating systems and their implications
* Knowledge of Java, Bash and Terraform are preferred
* Knowledge of risk management methodologies and security frameworks
* Familiarity with intrusion detection/prevention systems
* Familiarity with public key infrastructure (PKI) and cryptographic protocols (e.g. SSL/ TLS)
* The ability to meet deadlines and work under high-pressure situations

 **Required Skills*** Ubuntu Linux 20.04 or higher
* Google Cloud Platform (GCP)
* Terraform
* Palo Alto Networks VM Series
* Networking, firewalls, routing, subnetting, site-to-site VPNs.
* Jira / Bitbucket / Git
* Bash shell scripting
* Certificate management
* Open Web Application Security Project (Owasp) Top 10
* Thread Models experience

**Desired Skills*** CISSP or CCSP
* MSP
* ITIL, COBIT or Six Sigma
* Compliance checks experience
* Risk assessment experience

**Benefits/Perks*** Competitive Compensation
* Career Advancement Opportunities
* Great Work Environment"
