title,company,location,description
Homeland Security Intern - Paid,State of Georgia,"Atlanta, GA, USA",Homeland **Security** **Intern** Georgia Emergency Management and Homeland **Security** Agency (GEMA/HS) is ... Additional **Information** \* Agency Logo: \* Requisition ID: INT001K \* Number of Openings: 1 \* ...
Information Security - Intern,"Driver Services, Georgia Department of - DDS","Conyers, GA, USA","Work alongside the **Information** **Security** team to respond to **security** incidents, conduct investigations, and implement corrective actions. Support the team in conducting vulnerability assessments ..."
Cybersecurity College Intern,Republic National Distributing Company,"Atlanta, GA, USA",Summary RNDC is seeking a proactive and dedicated Cybersecurity Analyst **Intern** to serve as the ... Stay abreast of **Information** Technology **(IT**) **security** trends and news to continuously enhance ...
Market Sales Intern,Signal Security,"Atlanta, GA, USA","Signal has redefined the **security** industry through branding, technology, and its leading-edge ... client **information**, and discover the best approach to ultimately building the business. You will ..."
Market Sales Intern,Signal,"Atlanta, GA, USA","Signal has redefined the **security** industry through branding, technology, and its leading-edge ... client **information**, and discover the best approach to ultimately building the business. You will ..."
"Pathways Intern (Administrative, Clerical and Office Services)",Social Security Administration,"Atlanta, GA, USA",This position provides for the assignment of the incumbent to the Social **Security** Administration ... Providing Proof of Education or Substituting Education For **information** on providing proof of ...
Product Intergration Intern,Altium Packaging LLC,"Atlanta, GA, USA","Salary Nonexempt - **security** (United States of America) Altium Packaging, Our Culture Differentiates ... Communicating with plants to confirm equipment **information** \* Leading and managing small plant ..."
Automation Development/RPA Intern,Vatic Outsourcing,"Atlanta, GA, USA","Salary: $15 / Hour   
**Position:** Automation Development/RPA Intern

 

**Organization:** Robotics Process Automation

 

**Classification:** Non-Exempt 

 

**Reports to:** Manager of Robotics Process Automation

 

**Summary:** As an RPA Administrator, you will be responsible for overseeing and managing the RPA infrastructure and ensuring the smooth execution of automated processes. Your role will be crucial in maintaining the integrity and efficiency of RPA solutions within our organization.

 

**Essential Functions and Qualifications:**

  


* Excellent problem-solving skills and attention to detail.
* Good communication and interpersonal skills to interact with various teams.
* Ability to work independently and manage multiple tasks effectively.
* Active interest in latest technology standards, industry trends, emerging technologies, and software development best practices

 

**Major Duties and Responsibilities:**

 

* Identify, diagnose, and resolve RPA system errors and malfunctions.
* Implement error handling mechanisms within the RPA system to minimize disruptions in automated processes.
* Document and report errors and their resolutions to improve future process automation.
* Continuously analyze automated processes for potential improvements and optimizations.
* Update and maintain RPA documentation, including process maps and system architecture.
* Collaborate with stakeholders to understand and address automation requirements.
* Work closely with IT, developers, and business analysts to align RPA solutions with business goals.
* Assist IT with larger scale projects using Zendesk, Google Drive, O365

 

**Supervisory Responsibility:** While there is not a formal responsibility for personnel management, this role will work closely with various members of internal peer and management organizations and will need to take various leadership roles, internally and externally.

 

**Work Environment:** This position operates in a professional office environment.

 

**Position Type and Expected Hours of Work:** The role will begin as part-time hourly during the training period. Once in the role for 3-6 months, the apprentice will be given the opportunity to move to the full-time Client Account Manager role if the training period is completed successfully.

 

**Travel:** Some travel (locally or in the US) may be required to perform the critical functions of the job.

 

**Required Education and Experience:**

 

* Working towards Bachelor’s degree in Computer Science, Information Technology, or a related field.

 

**Additional Eligibility Qualifications**

 

* Work Authorization/Security Clearance (if applicable)
* Job contingent upon a background check

 

**EEO Statement:** It is our policy to provide equal employment opportunity to all individuals. We are committed to a diverse workforce. We value all employees’ talents and support an environment that is inclusive and respectful. We are strongly committed to this policy, and believe in the concept and spirit of the law.

 

Vatic’ s policy is to provide equal employment opportunity to qualified persons without regard to race, color, religion, sex, national origin, age, known mental and physical disabilities, or veteran status. Federal and state laws require this, and we believe equal employment opportunity is simply good business practice."
IT Security Summer (STAR) Intern,Daimler,"Atlanta, GA, USA",The **intern** will take part in the following related architecture and also **information** **security** activities: a) Attend meetings and take detailed notes including 'meeting minutes' and communicate to ...
IT Security Summer (STAR) Intern,Daimler India Commercial Vehicles,"Atlanta, GA, USA",The **intern** will take part in the following related architecture and also **information** **security** activities: a) Attend meetings and take detailed notes including 'meeting minutes' and communicate to ...
IT Security Summer (STAR) Intern,Mercedes-Benz Cars UK Limited,"Atlanta, GA, USA",The **intern** will take part in the following related architecture and also **information** **security** activities: a) Attend meetings and take detailed notes including 'meeting minutes' and communicate to ...
GRC Analyst Intern,BrandSafway,"Atlanta, GA, USA","GRC Analyst **Intern** ID: 2955293 Location: Atlanta, GA Job Function : **Intern** More about this job ... **IT Security** **.** Finance, business, or related field \* Ability to participate in a full time ..."
Atlanta Internal Audit and Financial Advisory Intern - 2025,"Protiviti, Inc.","Atlanta, GA, USA","JOB REQUISITION Atlanta Internal Audit and Financial Advisory **Intern** - 2025 LOCATION ATLANTA ... **security** protocols and development processes, but also continued availability of **information** to ..."
"Intern - Centers for Disease Control and Prevention, Federal Management Consulting - Campus 2024",Guidehouse,"Atlanta, GA, USA","... **information** technology, communications, and project management. Click through below to hear more ... Ability to obtain a US Government **Security** Clearance: individual may be submitted for clearance ..."
